cluster,lv,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,2025,701548573448.1002,667499395825.3303,635414157564.17,605161962128.5101,576621789225.3475,549681664345.206,524237905171.61615,500194437104.9786,477462170991.7767,455958436896.7503
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,2030,870032391886.8732,787628974535.5197,713729593520.7112,647385808566.0651,587762709676.577,534124416389.1191,485821543376.597,442280350549.96716,402993338344.74164,367511084682.32025
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,2035,960581929264.7638,827396740301.8353,713726522804.509,616560987751.9772,533377047268.55725,462056332093.5621,400817277056.1243,348159096802.3921,302815485140.848,263716281381.124
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,2040,933254641688.8997,764843681012.7517,628053620346.6613,516720467584.9989,425925235948.57806,351733859294.95667,290993208666.9778,241170733876.65955,200228110425.86844,166521456109.9811
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,2045,891990985534.9004,695546421955.0398,543696041916.4653,426019862422.6645,334600806133.2136,263407410357.8743,207832678051.45163,164348605442.0571,130246654909.01103,103442263926.72903
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,2050,825888411059.9412,612745539700.1632,455948949292.06836,340255090194.326,254636814792.68573,191091953425.48956,143795539367.2221,108494579652.32915,82074587274.93066,62248147856.57205
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,2020,737943109781.527,737943109781.527,737943109781.527,737943109781.527,737943109781.527,737943109781.527,737943109781.527,737943109781.527,737943109781.527,737943109781.527
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,2025,697094394894.0304,663261397764.659,631379870815.2654,601319748580.554,572960779133.4114,546191698897.9696,520909483843.6828,497018669354.97424,474430731911.28864,453063526454.2833
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,2030,665229895405.8546,602223946182.6979,545720213722.3201,494993517178.8812,449405481367.92914,408393449441.18713,371460899042.4194,338169146436.4184,308130155631.24744,281000296889.5217
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,2035,638199734741.8246,549713006355.4813,474191803587.94116,409636124569.456,354369658343.16315,306984984407.9393,266298451078.45328,231312953593.98395,201187172488.79147,175210105142.57178
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c4,2040,620849283258.1703,508813597007.1067,417813769813.4328,343749195144.01263,283347508437.45734,233991565309.24475,193583741203.73495,160439252677.2813,133202100791.13371,110778690032.43802
